date,tvl_usd
2025-05-01,19408522188
2025-05-02,20002880388
2025-05-03,20357980791
2025-05-04,20249383335
2025-05-05,20033077467
2025-05-06,19886209488
2025-05-07,20112236409
2025-05-08,19169335639
2025-05-09,21861782660
2025-05-10,23074590296
2025-05-11,24512598478
2025-05-12,24085326444
2025-05-13,23660585211
2025-05-14,24863562714
2025-05-15,23573607018
2025-05-16,23008243969
2025-05-17,23284168390
2025-05-18,23068905176
2025-05-19,23617736389
2025-05-20,23826878715
2025-05-21,24023692656
2025-05-22,24337743707
2025-05-23,25202538312
2025-05-24,24317953411
2025-05-25,24353614598
2025-05-26,24462733506
2025-05-27,24663807572
2025-05-28,25074648311
2025-05-29,24990337711
2025-05-30,24547745077
2025-05-31,23962209295
2025-06-01,24121589283
2025-06-02,24396395410
2025-06-03,24803509706
2025-06-04,24803953772
2025-06-05,24861342684
2025-06-06,23597428559
2025-06-07,24187072941
2025-06-08,24582946974
2025-06-09,24506971791
2025-06-10,25134471137
2025-06-11,26088326551
2025-06-12,25928913729
2025-06-13,24909250371
2025-06-14,24762009087
2025-06-15,24534919213
2025-06-16,24570909267
2025-06-17,25854553446
2025-06-18,25252551264
2025-06-19,25284659119
2025-06-20,25222340888
2025-06-21,24265434803
2025-06-22,23485312582
2025-06-23,22517524974
2025-06-24,24138877391
2025-06-25,24471322262
2025-06-26,24675428790
2025-06-27,24149649040
2025-06-28,24425584609
2025-06-29,24603601779
2025-06-30,25144712857
2025-07-01,24706446674
2025-07-02,24163484177
2025-07-03,25348196037
2025-07-04,25812437106
2025-07-05,25239713313
2025-07-06,25552744940
2025-07-07,25941377978
2025-07-08,25686241616
2025-07-09,26197491390
2025-07-10,27419357897
2025-07-11,28406819834
2025-07-12,28436691422
2025-07-13,28457113990
2025-07-14,28956506491
2025-07-15,29332422701
2025-07-16,29953960869
2025-07-17,29961937383
2025-07-18,30531960608
2025-07-19,31353193760
2025-07-20,31821699764
2025-07-21,33098489744
2025-07-22,33013067640
2025-07-23,32915384493
2025-07-24,32497650373
2025-07-25,32460981710
2025-07-26,33023128725
2025-07-27,33233866748
2025-07-28,34667799096
2025-07-29,33716703551
2025-07-30,33704914212
2025-07-31,33943431057
2025-08-01,33568198818
2025-08-02,32034745552
2025-08-03,31606099660
2025-08-04,32488709752
2025-08-05,34053495936
2025-08-06,34087007289
2025-08-07,34605492573
2025-08-08,36635875815
2025-08-09,36921982534
2025-08-10,38159952150
2025-08-11,38296803889
2025-08-12,38154607276
2025-08-13,39795999390
2025-08-14,39810874244
2025-08-15,38545303406
2025-08-16,37381353183
2025-08-17,37234390344
2025-08-18,37243568693
2025-08-19,36686666242
2025-08-20,35264662713
2025-08-21,36630468406
2025-08-22,36415798157
2025-08-23,39571976310
2025-08-24,40739958364
2025-08-25,39491802594
2025-08-26,38302630261
2025-08-27,39437983079
2025-08-28,39202254568
2025-08-29,39664294930
2025-08-30,39080623160
2025-08-31,38944462176
2025-09-01,38811422793
2025-09-02,38550189602
2025-09-03,38241641025
2025-09-04,39869691553
2025-09-05,38763188684
2025-09-06,39101685763
2025-09-07,38813379134
2025-09-08,39811182606
2025-09-09,39570253780
2025-09-10,39324898341
2025-09-11,39970449688
2025-09-12,40537894167
2025-09-13,42166532929
2025-09-14,42055961630
2025-09-15,41709919618
2025-09-16,41340360634
2025-09-17,40613286253
2025-09-18,41465810216
2025-09-19,42366186712
2025-09-20,41535296901
2025-09-21,42723970597
2025-09-22,42106693629
2025-09-23,40233002733
2025-09-24,39602829708
2025-09-25,39740376931
2025-09-26,39429076309
2025-09-27,40368755202
2025-09-28,41281866357
2025-09-29,42703084286
2025-09-30,43296408982
2025-10-01,42990626099
2025-10-02,44206721746
2025-10-03,44654503641
2025-10-04,44664094942
2025-10-05,44340804073
2025-10-06,44223795844
2025-10-07,45443859638
2025-10-08,44510427344
2025-10-09,44994427464
2025-10-10,42969039542
2025-10-11,38212838691
2025-10-12,38769704568
2025-10-13,41107889975
2025-10-14,41787792323
2025-10-15,40899079068
2025-10-16,38658234131
2025-10-17,37923810706
2025-10-18,37062962133
2025-10-19,38946215179
2025-10-20,37639815505
2025-10-21,39269888928
2025-10-22,37173745828
2025-10-23,35660585288
2025-10-24,36094662652
2025-10-25,36980984711
2025-10-26,37247198914
2025-10-27,38912794142
2025-10-28,39101918832
2025-10-29,38076998868
2025-10-30,37240395809
2025-10-31,36604726580
2025-11-01,36680879342
2025-11-02,36653646800
2025-11-03,36877472043
2025-11-04,34522227812
2025-11-05,31290889972
2025-11-06,31089685136
2025-11-07,30257292601
2025-11-08,30959924402
2025-11-09,30448234453
2025-11-10,31553944921
2025-11-11,32308544955
2025-11-12,31564881195
2025-11-13,31848109462
2025-11-14,32237966170
2025-11-15,31619319058
2025-11-16,31420051179
2025-11-17,29785571048
2025-11-18,29545467137
2025-11-19,30850803371
2025-11-20,30232574659
2025-11-21,29628857370
