date,tvl_usd
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,1007755
2024-03-01,105852128
2024-03-02,155223680
2024-03-03,231929006
2024-03-04,313357014
2024-03-05,329138161
2024-03-06,338998809
2024-03-07,466374640
2024-03-08,583028199
2024-03-09,728101125
2024-03-10,760577350
2024-03-11,806525249
2024-03-12,1025639172
2024-03-13,1021805757
2024-03-14,1049069447
2024-03-15,1053451824
2024-03-16,1043730945
2024-03-17,1007497972
2024-03-18,1035534059
2024-03-19,1022727853
2024-03-20,860158724
2024-03-21,947672564
2024-03-22,986362508
2024-03-23,953296033
2024-03-24,995077084
2024-03-25,1066724192
2024-03-26,1167872115
2024-03-27,1139948435
2024-03-28,1180822266
2024-03-29,1257039733
2024-03-30,1278499451
2024-03-31,1295816777
2024-04-01,1349436697
2024-04-02,1304711675
2024-04-03,1237421939
2024-04-04,1274100244
2024-04-05,1302278807
2024-04-06,1365603997
2024-04-07,1340354438
2024-04-08,1391526856
2024-04-09,1688035272
2024-04-10,1683267315
2024-04-11,1685236685
2024-04-12,1685678063
2024-04-13,1482866349
2024-04-14,1368232290
2024-04-15,1453679510
2024-04-16,1431838329
2024-04-17,1424824290
2024-04-18,1387552466
2024-04-19,1418057855
2024-04-20,1413103803
2024-04-21,1477443755
2024-04-22,1514497784
2024-04-23,1562774713
2024-04-24,1546655163
2024-04-25,1431611496
2024-04-26,1465060008
2024-04-27,1443254716
2024-04-28,1500192385
2024-04-29,1559004701
2024-04-30,1509757187
2024-05-01,1421154953
2024-05-02,1486972133
2024-05-03,1507399573
2024-05-04,1564660985
2024-05-05,1584229308
2024-05-06,1570092681
2024-05-07,1576268558
2024-05-08,1608290769
2024-05-09,1616710279
2024-05-10,1628618673
2024-05-11,1613401127
2024-05-12,1638310296
2024-05-13,1646778018
2024-05-14,1653679279
2024-05-15,1619054647
2024-05-16,1687145390
2024-05-17,1655555930
2024-05-18,1719853680
2024-05-19,1732981573
2024-05-20,1705081598
2024-05-21,2009753765
2024-05-22,2068220665
2024-05-23,2105976949
2024-05-24,2115379853
2024-05-25,2114495893
2024-05-26,2114705243
2024-05-27,2173178578
2024-05-28,2206934874
2024-05-29,2240390777
2024-05-30,2208424399
2024-05-31,2198206581
2024-06-01,2223041450
2024-06-02,2244902827
2024-06-03,2238107596
2024-06-04,2225911110
2024-06-05,2245058355
2024-06-06,2259426582
2024-06-07,2227103739
2024-06-08,2181092629
2024-06-09,2162489453
2024-06-10,2151319569
2024-06-11,2130831602
2024-06-12,2028800061
2024-06-13,2052636629
2024-06-14,2013184756
2024-06-15,2021556122
2024-06-16,2081258385
2024-06-17,2114059190
2024-06-18,2066612840
2024-06-19,2036537523
2024-06-20,2039421386
2024-06-21,2003019246
2024-06-22,1935039453
2024-06-23,1945089309
2024-06-24,1888194730
2024-06-25,1741111120
2024-06-26,1627362348
2024-06-27,1511018470
2024-06-28,1497353251
2024-06-29,1444093286
2024-06-30,1430009999
2024-07-01,1410899566
2024-07-02,1385761732
2024-07-03,1340191699
2024-07-04,1299842572
2024-07-05,1246856241
2024-07-06,1142414067
2024-07-07,1170301614
2024-07-08,1140456276
2024-07-09,1147573049
2024-07-10,1154945338
2024-07-11,1196330021
2024-07-12,1204303053
2024-07-13,1201573534
2024-07-14,1214971146
2024-07-15,1233407621
2024-07-16,1297697199
2024-07-17,1303863344
2024-07-18,1281020057
2024-07-19,1281177889
2024-07-20,1299470963
2024-07-21,1293443748
2024-07-22,1290096790
2024-07-23,1284753722
2024-07-24,1273275309
2024-07-25,1221036005
2024-07-26,1156708593
2024-07-27,1180282962
2024-07-28,1180493589
2024-07-29,1170921937
2024-07-30,1182317091
2024-07-31,1150084312
2024-08-01,1140738649
2024-08-02,1124047692
2024-08-03,1054801010
2024-08-04,1019141845
2024-08-05,960563657
2024-08-06,822627221
2024-08-07,831291910
2024-08-08,792501100
2024-08-09,845988618
2024-08-10,846937043
2024-08-11,846813417
2024-08-12,834727147
2024-08-13,863253751
2024-08-14,874282804
2024-08-15,865608873
2024-08-16,839048695
2024-08-17,841445270
2024-08-18,849309435
2024-08-19,858116064
2024-08-20,852780402
2024-08-21,837558810
2024-08-22,845831759
2024-08-23,841407420
2024-08-24,887889061
2024-08-25,873249252
2024-08-26,885108561
2024-08-27,854033919
2024-08-28,787520291
2024-08-29,800770595
2024-08-30,800939053
2024-08-31,795766258
2024-09-01,792835641
2024-09-02,771996887
2024-09-03,797597770
2024-09-04,775038045
2024-09-05,771006288
2024-09-06,748932822
2024-09-07,714281987
2024-09-08,723085365
2024-09-09,730648479
2024-09-10,741535930
2024-09-11,742302382
2024-09-12,732245349
2024-09-13,732081532
2024-09-14,754210371
2024-09-15,746355725
2024-09-16,729726770
2024-09-17,711773343
2024-09-18,722886034
2024-09-19,721300273
2024-09-20,745081855
2024-09-21,764364608
2024-09-22,769102386
2024-09-23,760644690
2024-09-24,784080129
2024-09-25,782886853
2024-09-26,760413314
2024-09-27,771496181
2024-09-28,781384100
2024-09-29,769320271
2024-09-30,762198437
2024-10-01,749472576
2024-10-02,703709160
2024-10-03,681857871
2024-10-04,668761612
2024-10-05,676663890
2024-10-06,679621732
2024-10-07,667080331
2024-10-08,671980304
2024-10-09,670920460
2024-10-10,653172526
2024-10-11,652882272
2024-10-12,618973128
2024-10-13,626004857
2024-10-14,621239244
2024-10-15,639120799
2024-10-16,636940190
2024-10-17,637634422
2024-10-18,635446292
2024-10-19,626969867
2024-10-20,627139843
2024-10-21,694187039
2024-10-22,673928198
2024-10-23,691115458
2024-10-24,658417870
2024-10-25,666189069
2024-10-26,651524440
2024-10-27,645441122
2024-10-28,610760630
2024-10-29,618604404
2024-10-30,610091951
2024-10-31,613760144
2024-11-01,587702361
2024-11-02,587095053
2024-11-03,582494812
2024-11-04,568864952
2024-11-05,555965187
2024-11-06,561403944
2024-11-07,607193118
2024-11-08,627419729
2024-11-09,638271975
2024-11-10,662429028
2024-11-11,667724401
2024-11-12,682799477
2024-11-13,662413723
2024-11-14,645581418
2024-11-15,618502804
2024-11-16,595243153
2024-11-17,593517104
2024-11-18,577380970
2024-11-19,578545708
2024-11-20,560767953
2024-11-21,551005659
2024-11-22,598728818
2024-11-23,592855409
2024-11-24,589884498
2024-11-25,585657577
2024-11-26,591112960
2024-11-27,585197639
2024-11-28,628885708
2024-11-29,614574520
2024-11-30,615781629
2024-12-01,630770020
2024-12-02,630154462
2024-12-03,617579834
2024-12-04,612580033
2024-12-05,637419512
2024-12-06,630562901
2024-12-07,655152485
2024-12-08,652579197
2024-12-09,635409283
2024-12-10,584454593
2024-12-11,569956224
2024-12-12,592257501
2024-12-13,596860377
2024-12-14,580431474
2024-12-15,573208784
2024-12-16,574607534
2024-12-17,580941904
2024-12-18,558958086
2024-12-19,525696230
2024-12-20,493623088
2024-12-21,496803468
2024-12-22,475861796
2024-12-23,465374829
2024-12-24,478746834
2024-12-25,484894143
2024-12-26,477007281
2024-12-27,454641648
2024-12-28,451202332
2024-12-29,462377602
2024-12-30,455411088
2024-12-31,455092097
2025-01-01,448463752
2025-01-02,448536893
2025-01-03,457215890
2025-01-04,474015021
2025-01-05,478965566
2025-01-06,474368253
2025-01-07,478804747
2025-01-08,448443881
2025-01-09,441676210
2025-01-10,430557572
2025-01-11,433152998
2025-01-12,435467202
2025-01-13,428600483
2025-01-14,414026806
2025-01-15,407013290
2025-01-16,425631978
2025-01-17,411446692
2025-01-18,427685151
2025-01-19,405751236
2025-01-20,396581723
2025-01-21,393674635
2025-01-22,394697243
2025-01-23,388097165
2025-01-24,392523928
2025-01-25,348307275
2025-01-26,343806119
2025-01-27,339314509
2025-01-28,326210317
2025-01-29,319691525
2025-01-30,321701557
2025-01-31,327619366
2025-02-01,331916342
2025-02-02,316338782
2025-02-03,290355953
2025-02-04,277769290
2025-02-05,248469953
2025-02-06,254229507
2025-02-07,246419505
2025-02-08,242280196
2025-02-09,242260760
2025-02-10,240689491
2025-02-11,237770842
2025-02-12,230190473
2025-02-13,237635932
2025-02-14,233720505
2025-02-15,236177937
2025-02-16,233636511
2025-02-17,232326531
2025-02-18,235209834
2025-02-19,230305532
2025-02-20,232405555
2025-02-21,233446912
2025-02-22,226885743
2025-02-23,233131132
2025-02-24,236729949
2025-02-25,189554840
2025-02-26,186264041
2025-02-27,177936869
2025-02-28,173750141
2025-03-01,167959102
2025-03-02,166681319
2025-03-03,182678672
2025-03-04,162976025
2025-03-05,162718020
2025-03-06,165917519
2025-03-07,160489784
2025-03-08,158444511
2025-03-09,160581805
2025-03-10,151597029
2025-03-11,145987273
2025-03-12,138865799
2025-03-13,137379202
2025-03-14,135636491
2025-03-15,138435820
2025-03-16,139517468
2025-03-17,120404655
2025-03-18,122621233
2025-03-19,123923237
2025-03-20,127903148
2025-03-21,136459016
2025-03-22,135446325
2025-03-23,122618470
2025-03-24,124447518
2025-03-25,127344701
2025-03-26,125023250
2025-03-27,122530453
2025-03-28,123637991
2025-03-29,118904801
2025-03-30,115799329
2025-03-31,114160514
2025-04-01,116262081
2025-04-02,119569902
2025-04-03,115348263
2025-04-04,115429888
2025-04-05,113555450
2025-04-06,113243693
2025-04-07,105397525
2025-04-08,104539809
2025-04-09,100779374
2025-04-10,107381306
2025-04-11,102234659
2025-04-12,102956720
2025-04-13,106505890
2025-04-14,104630508
2025-04-15,105528105
2025-04-16,102885518
2025-04-17,102115734
2025-04-18,101900495
2025-04-19,102625354
2025-04-20,103092743
2025-04-21,102132016
2025-04-22,101714534
2025-04-23,109002695
2025-04-24,109542465
2025-04-25,107138633
2025-04-26,108950962
2025-04-27,110061917
2025-04-28,107608018
2025-04-29,108428962
2025-04-30,108411186
2025-05-01,108414844
2025-05-02,110053325
2025-05-03,109894732
2025-05-04,106401542
2025-05-05,105615463
2025-05-06,106762338
2025-05-07,105551949
2025-05-08,105138403
2025-05-09,119002007
2025-05-10,122946593
2025-05-11,129346291
2025-05-12,125867562
2025-05-13,125272104
2025-05-14,130235117
2025-05-15,127062876
2025-05-16,102995703
2025-05-17,102792308
2025-05-18,194080571
2025-05-19,100837182
2025-05-20,101905561
2025-05-21,101687052
2025-05-22,102085601
2025-05-23,126472834
2025-05-24,121460561
2025-05-25,121217197
2025-05-26,121006759
2025-05-27,120081678
2025-05-28,123721315
2025-05-29,122987172
2025-05-30,117564793
2025-05-31,115081336
2025-06-01,112195190
2025-06-02,112256242
2025-06-03,115378833
2025-06-04,115517049
2025-06-05,115664401
2025-06-06,108388128
2025-06-07,109587274
2025-06-08,111316537
2025-06-09,111084351
2025-06-10,114830203
2025-06-11,119832543
2025-06-12,114257994
2025-06-13,110591007
2025-06-14,108701188
2025-06-15,105875731
2025-06-16,106183165
2025-06-17,107368890
2025-06-18,106109946
2025-06-19,106269327
2025-06-20,104714376
2025-06-21,101228428
2025-06-22,94480353
2025-06-23,93581363
2025-06-24,98368449
2025-06-25,98708133
2025-06-26,96756431
2025-06-27,96249478
2025-06-28,96759098
2025-06-29,96765275
2025-06-30,99841105
2025-07-01,99481767
2025-07-02,95683855
2025-07-03,96469187
2025-07-04,99505443
2025-07-05,99531884
2025-07-06,97746384
2025-07-07,100668358
2025-07-08,100125468
2025-07-09,101248471
2025-07-10,102852412
2025-07-11,82850008
2025-07-12,82700965
2025-07-13,84289549
2025-07-14,82562444
2025-07-15,84450366
2025-07-16,86489600
2025-07-17,90051801
2025-07-18,91310431
2025-07-19,91833323
2025-07-20,90159322
2025-07-21,95250810
2025-07-22,94956662
2025-07-23,94366811
2025-07-24,92179041
2025-07-25,93368237
2025-07-26,93843752
2025-07-27,93989475
2025-07-28,92024466
2025-07-29,87704319
2025-07-30,98459872
2025-07-31,96172914
2025-08-01,66441375
2025-08-02,64941033
2025-08-03,61834614
2025-08-04,62999547
2025-08-05,66867716
2025-08-06,65570879
2025-08-07,63684090
2025-08-08,68314619
2025-08-09,65963653
2025-08-10,70292299
2025-08-11,70066520
2025-08-12,70002481
2025-08-13,72825032
2025-08-14,73199342
