date,protocol,tvl_usd
2025-05-01,BlackRock BUIDL,2652901642
2025-05-01,Circle USYC,446629010
2025-05-01,Ondo OUSG/USDY,1008423256
2025-05-01,Spiko,262171009
2025-05-01,Superstate USTB,491413504
2025-05-02,BlackRock BUIDL,2794898160
2025-05-02,Circle USYC,445348267
2025-05-02,Ondo OUSG/USDY,1037524714
2025-05-02,Spiko,262171009
2025-05-02,Superstate USTB,491093704
2025-05-03,BlackRock BUIDL,2805167956
2025-05-03,Circle USYC,443903689
2025-05-03,Ondo OUSG/USDY,1058395803
2025-05-03,Spiko,265820385
2025-05-03,Superstate USTB,491393655
2025-05-04,BlackRock BUIDL,2805167956
2025-05-04,Circle USYC,444526137
2025-05-04,Ondo OUSG/USDY,1058395843
2025-05-04,Spiko,265820385
2025-05-04,Superstate USTB,490647455
2025-05-05,BlackRock BUIDL,2805167956
2025-05-05,Circle USYC,444526137
2025-05-05,Ondo OUSG/USDY,1058395883
2025-05-05,Spiko,265820385
2025-05-05,Superstate USTB,490647455
2025-05-06,BlackRock BUIDL,2806120756
2025-05-06,Circle USYC,444328505
2025-05-06,Ondo OUSG/USDY,1113613062
2025-05-06,Spiko,267084641
2025-05-06,Superstate USTB,490676813
2025-05-07,BlackRock BUIDL,2816437135
2025-05-07,Circle USYC,444333574
2025-05-07,Ondo OUSG/USDY,1113022516
2025-05-07,Spiko,269928348
2025-05-07,Superstate USTB,491136504
2025-05-08,BlackRock BUIDL,2790249529
2025-05-08,Circle USYC,444338643
2025-05-08,Ondo OUSG/USDY,1138826903
2025-05-08,Spiko,279364985
2025-05-08,Superstate USTB,483575574
2025-05-09,BlackRock BUIDL,2799883743
2025-05-09,Circle USYC,443839989
2025-05-09,Ondo OUSG/USDY,1170708165
2025-05-09,Spiko,277689046
2025-05-09,Superstate USTB,474583179
2025-05-10,BlackRock BUIDL,2843178738
2025-05-10,Circle USYC,448742745
2025-05-10,Ondo OUSG/USDY,1189906713
2025-05-10,Spiko,281755918
2025-05-10,Superstate USTB,481135766
2025-05-11,BlackRock BUIDL,2843178738
2025-05-11,Circle USYC,448742745
2025-05-11,Ondo OUSG/USDY,1181884932
2025-05-11,Spiko,281755918
2025-05-11,Superstate USTB,480380654
2025-05-12,BlackRock BUIDL,2843178738
2025-05-12,Circle USYC,444770324
2025-05-12,Ondo OUSG/USDY,1184568399
2025-05-12,Spiko,281755918
2025-05-12,Superstate USTB,480380654
2025-05-13,BlackRock BUIDL,2839928486
2025-05-13,Circle USYC,441472703
2025-05-13,Ondo OUSG/USDY,1190046303
2025-05-13,Spiko,276519295
2025-05-13,Superstate USTB,476856688
2025-05-14,BlackRock BUIDL,2843967193
2025-05-14,Circle USYC,439238198
2025-05-14,Ondo OUSG/USDY,1183515723
2025-05-14,Spiko,277993329
2025-05-14,Superstate USTB,488515195
2025-05-15,BlackRock BUIDL,2806615243
2025-05-15,Circle USYC,434389791
2025-05-15,Ondo OUSG/USDY,1185980875
2025-05-15,Spiko,278039562
2025-05-15,Superstate USTB,509070657
2025-05-16,BlackRock BUIDL,2804730116
2025-05-16,Circle USYC,434436135
2025-05-16,Ondo OUSG/USDY,1205696080
2025-05-16,Spiko,280392000
2025-05-16,Superstate USTB,536618678
2025-05-17,BlackRock BUIDL,2815394978
2025-05-17,Circle USYC,434485445
2025-05-17,Ondo OUSG/USDY,1221858659
2025-05-17,Spiko,280264018
2025-05-17,Superstate USTB,538466120
2025-05-18,BlackRock BUIDL,2815394978
2025-05-18,Circle USYC,434400357
2025-05-18,Ondo OUSG/USDY,1232561404
2025-05-18,Spiko,280264018
2025-05-18,Superstate USTB,538542283
2025-05-19,BlackRock BUIDL,2815394978
2025-05-19,Circle USYC,433909852
2025-05-19,Ondo OUSG/USDY,1227211651
2025-05-19,Spiko,281966423
2025-05-19,Superstate USTB,538570339
2025-05-20,BlackRock BUIDL,2826852146
2025-05-20,Circle USYC,433690621
2025-05-20,Ondo OUSG/USDY,1227323582
2025-05-20,Spiko,287075979
2025-05-20,Superstate USTB,538177442
2025-05-21,BlackRock BUIDL,2882000975
2025-05-21,Circle USYC,432273127
2025-05-21,Ondo OUSG/USDY,1258963003
2025-05-21,Spiko,287930606
2025-05-21,Superstate USTB,517390889
2025-05-22,BlackRock BUIDL,2887405394
2025-05-22,Circle USYC,430949541
2025-05-22,Ondo OUSG/USDY,1258479209
2025-05-22,Spiko,289999568
2025-05-22,Superstate USTB,516404711
2025-05-23,BlackRock BUIDL,2887728357
2025-05-23,Circle USYC,426233730
2025-05-23,Ondo OUSG/USDY,1253197543
2025-05-23,Spiko,291441944
2025-05-23,Superstate USTB,532134128
2025-05-24,BlackRock BUIDL,2902306833
2025-05-24,Circle USYC,405760940
2025-05-24,Ondo OUSG/USDY,1264673941
