rank	repo	score	prCreated	prMerged	prOpen	closedUnmerged	defaultBranchCommits	sampledAuthors	releases	language	pushedAt
1	starkware-libs/sequencer	0.7669	1324	881	192	366	912	8	0	Rust	2026-05-21T14:03:52Z
2	BibliothecaDAO/eternum	0.4471	467	396	7	66	1470	3	0	TypeScript	2026-05-23T13:09:07Z
3	starkware-libs/cairo	0.2139	227	165	26	41	177	8	9	Rust	2026-05-23T13:29:45Z
4	keep-starknet-strange/starknet-agentic	0.1998	151	124	3	33	647	2	6	TypeScript	2026-05-23T06:32:47Z
5	NethermindEth/juno	0.1917	218	183	13	34	183	6	6	Go	2026-05-22T21:05:39Z
6	keep-starknet-strange/awesome-starkzap	0.1788	78	8	65	6	25	28	0		2026-03-24T17:21:29Z
7	starkware-libs/stwo-circuits	0.1627	223	190	22	15	187	5	0	Rust	2026-05-20T16:08:53Z
8	equilibriumco/pathfinder	0.158	114	110	2	4	400	4	5	Rust	2026-05-22T18:23:09Z
9	cartridge-gg/controller	0.1548	162	142	6	15	144	5	6	TypeScript	2026-05-22T21:33:48Z
10	dojoengine/game-jams	0.1516	63	61	0	2	85	20	0		2026-03-11T19:18:32Z
11	foundry-rs/starknet-foundry	0.1483	159	125	16	32	125	6	5	Rust	2026-05-23T08:46:44Z
12	software-mansion/scarb	0.1382	115	99	7	16	98	5	9	Rust	2026-05-22T15:54:17Z
13	dojoengine/katana	0.0996	134	121	11	5	154	2	0	Rust	2026-05-23T05:15:17Z
14	starknet-io/starknet.js	0.0928	24	24	2	0	64	4	11	TypeScript	2026-04-30T15:15:49Z
15	madara-alliance/madara	0.089	97	58	30	11	51	4	4	Rust	2026-05-23T14:28:06Z
16	starkware-libs/stwo-cairo	0.0887	106	68	28	13	67	6	0	Rust	2026-05-19T15:26:05Z
17	software-mansion/starknet-rust	0.087	37	29	3	8	27	8	5	Rust	2026-05-21T11:51:20Z
18	starkware-libs/proving-utils	0.0866	31	21	4	9	21	13	0	Rust	2026-05-20T12:20:05Z
19	cartridge-gg/presets	0.0866	56	56	0	1	64	9	0	TypeScript	2026-05-21T13:43:10Z
